"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.596787162E2,6.506163537E1,2.547036051E1,1.983973638E1,1.039999962E0,3.582000122E2,3.790092468E0,2.500000000E0
2.606786343E2,6.506164653E1,2.547036142E1,1.976313313E1,1.159999967E0,3.572999878E2,3.790092468E0,2.500000000E0
2.616785259E2,6.506165759E1,2.547035932E1,1.955573123E1,1.100000024E0,3.536000061E2,3.790092468E0,2.500000000E0
2.626788198E2,6.506167066E1,2.547035407E1,1.934198057E1,1.370000005E0,3.480000000E2,3.790092468E0,2.500000000E0
2.636780065E2,6.506168456E1,2.547035060E1,1.925878399E1,1.389999986E0,3.516000061E2,3.790092468E0,2.500000000E0
2.646786202E2,6.506169917E1,2.547035221E1,1.947185236E1,1.460000038E0,3.592000122E2,3.790092468E0,2.500000000E0
2.656784912E2,6.506171389E1,2.547035507E1,1.969425921E1,1.500000000E0,2.099999905E0,3.790092468E0,2.500000000E0
2.666783993E2,6.506173003E1,2.547035608E1,2.006620144E1,1.720000029E0,3.592000122E2,3.790092468E0,2.500000000E0
2.676785634E2,6.506174396E1,2.547035221E1,2.004471135E1,1.480000019E0,3.540000000E2,3.790092468E0,2.500000000E0
2.686779707E2,6.506175628E1,2.547034810E1,2.026113688E1,1.419999957E0,3.532000122E2,3.790092468E0,2.500000000E0
2.696779922E2,6.506176790E1,2.547034425E1,2.026894454E1,1.379999995E0,3.511000061E2,3.790092468E0,2.500000000E0
2.706779244E2,6.506177883E1,2.547033893E1,2.008034116E1,1.299999952E0,3.508999939E2,3.790092468E0,2.500000000E0
2.716787966E2,6.506178813E1,2.547033510E1,1.992042509E1,1.129999995E0,3.502999878E2,3.790092468E0,2.500000000E0
2.726783233E2,6.506179848E1,2.547032470E1,1.977509529E1,1.289999962E0,3.370000000E2,3.790092468E0,2.500000000E0
2.736782514E2,6.506180855E1,2.547030542E1,1.953277973E1,1.340000033E0,3.260000000E2,3.790092468E0,2.500000000E0
2.746779757E2,6.506181855E1,2.547028074E1,1.945281710E1,1.460000038E0,3.172000122E2,3.790092468E0,2.500000000E0
2.756785722E2,6.506182725E1,2.547024688E1,1.924913567E1,1.700000048E0,3.050000000E2,3.790092468E0,2.500000000E0
2.766784006E2,6.506183261E1,2.547020604E1,1.932176087E1,1.769999981E0,2.903999939E2,3.790092468E0,2.500000000E0
2.776782861E2,6.506183350E1,2.547016271E1,1.933438992E1,1.840000033E0,2.757000122E2,3.790092468E0,2.500000000E0
2.786787904E2,6.506183080E1,2.547012296E1,1.881595385E1,1.679999948E0,2.637000122E2,3.790092468E0,2.500000000E0
2.796786173E2,6.506182648E1,2.547008461E1,1.873459131E1,1.769999981E0,2.616000061E2,3.790092468E0,2.500000000E0
2.806788528E2,6.506182278E1,2.547004864E1,1.872653202E1,1.559999943E0,2.641000061E2,3.790092468E0,2.500000000E0
2.816785294E2,6.506181959E1,2.547001324E1,1.843746674E1,1.649999976E0,2.638999939E2,3.790092468E0,2.500000000E0
2.826779411E2,6.506181745E1,2.546998632E1,1.802535514E1,1.289999962E0,2.677999878E2,3.790092468E0,2.500000000E0
2.836788502E2,6.506181700E1,2.546996227E1,1.770992292E1,1.230000019E0,2.701000061E2,3.790092468E0,2.500000000E0
2.846785158E2,6.506181746E1,2.546993461E1,1.777302998E1,1.299999952E0,2.737000122E2,3.790092468E0,2.500000000E0
2.856784638E2,6.506181856E1,2.546990736E1,1.770143225E1,1.259999990E0,2.745000000E2,3.790092468E0,2.500000000E0
2.866783588E2,6.506182050E1,2.546987634E1,1.775013408E1,1.450000048E0,2.738999939E2,3.790092468E0,2.500000000E0
2.876787044E2,6.506182270E1,2.546984152E1,1.809833488E1,1.549999952E0,2.755000000E2,3.790092468E0,2.500000000E0
2.886786249E2,6.506182592E1,2.546980333E1,1.832226735E1,1.710000038E0,2.797000122E2,3.790092468E0,2.500000000E0
2.896782690E2,6.506182823E1,2.546976381E1,1.877593633E1,1.759999990E0,2.733999939E2,3.790092468E0,2.500000000E0
2.906785171E2,6.506182812E1,2.546972674E1,1.886907185E1,1.679999948E0,2.670000000E2,3.790092468E0,2.500000000E0
2.916779502E2,6.506182821E1,2.546968971E1,1.927989528E1,1.669999957E0,2.677000122E2,3.790092468E0,2.500000000E0
2.926787942E2,6.506182790E1,2.546965254E1,1.946684189E1,1.730000019E0,2.655000000E2,3.790092468E0,2.500000000E0
2.936784335E2,6.506182613E1,2.546961948E1,1.925022507E1,1.610000014E0,2.617000122E2,3.790092468E0,2.500000000E0
2.946781976E2,6.506182301E1,2.546958737E1,1.914542527E1,1.600000024E0,2.575000000E2,3.790092468E0,2.500000000E0
2.956788137E2,6.506181970E1,2.546955837E1,1.875821623E1,1.519999981E0,2.590000000E2,3.790092468E0,2.500000000E0
2.966782594E2,6.506181737E1,2.546953133E1,1.868784053E1,1.379999995E0,2.627000122E2,3.790092468E0,2.500000000E0
2.976781435E2,6.506181577E1,2.546950499E1,1.838247929E1,1.370000005E0,2.665000000E2,3.790092468E0,2.500000000E0
2.986787753E2,6.506181530E1,2.546948449E1,1.867898594E1,1.019999981E0,2.738999939E2,3.790092468E0,2.500000000E0
2.996786046E2,6.506181699E1,2.546945683E1,1.889352076E1,1.399999976E0,2.775000000E2,3.790092468E0,2.500000000E0
3.006782914E2,6.506181796E1,2.546942661E1,1.882051894E1,1.330000043E0,2.755000000E2,3.790092468E0,2.500000000E0
3.016786662E2,6.506181806E1,2.546939226E1,1.879488027E1,1.519999981E0,2.707000122E2,3.790092468E0,2.500000000E0
3.026786082E2,6.506181775E1,2.546935434E1,1.868074037E1,1.669999957E0,2.677000122E2,3.790092468E0,2.500000000E0
3.036786103E2,6.506181802E1,2.546931477E1,1.867139743E1,1.740000010E0,2.697999878E2,3.790092468E0,2.500000000E0
3.046783956E2,6.506181857E1,2.546927768E1,1.867938865E1,1.620000005E0,2.702999878E2,3.790092468E0,2.500000000E0
3.056787623E2,6.506181890E1,2.546923769E1,1.904345872E1,1.820000052E0,2.702999878E2,3.790092468E0,2.500000000E0
3.066779811E2,6.506181885E1,2.546920138E1,1.913500739E1,1.700000048E0,2.695000000E2,3.790092468E0,2.500000000E0
3.076781539E2,6.506181849E1,2.546916870E1,1.897423724E1,1.590000033E0,2.665000000E2,3.790092468E0,2.500000000E0
3.086783503E2,6.506181657E1,2.546913734E1,1.890807233E1,1.600000024E0,2.616000061E2,3.790092468E0,2.500000000E0
3.096787530E2,6.506181425E1,2.546910873E1,1.884813346E1,1.460000038E0,2.582000122E2,3.790092468E0,2.500000000E0
3.106785834E2,6.506181164E1,2.546908416E1,1.849254087E1,1.259999990E0,2.543000031E2,3.790092468E0,2.500000000E0
3.116782127E2,6.506180898E1,2.546906165E1,1.814469999E1,1.200000048E0,2.531999969E2,3.790092468E0,2.500000000E0
3.126781798E2,6.506180661E1,2.546903751E1,1.827799895E1,1.210000038E0,2.538000031E2,3.790092468E0,2.500000000E0
3.136786557E2,6.506180320E1,2.546900811E1,1.813181773E1,1.389999986E0,2.511999969E2,3.790092468E0,2.500000000E0
3.146784594E2,6.506179836E1,2.546897585E1,1.805741409E1,1.509999990E0,2.515000000E2,3.790092468E0,2.500000000E0
3.156783544E2,6.506179379E1,2.546893785E1,1.849967229E1,1.700000048E0,2.543000031E2,3.790092468E0,2.500000000E0
3.166785892E2,6.506179006E1,2.546890257E1,1.858627862E1,1.629999995E0,2.573999939E2,3.790092468E0,2.500000000E0
3.176781455E2,6.506178782E1,2.546886498E1,1.876919760E1,1.750000000E0,2.632999878E2,3.790092468E0,2.500000000E0
3.186781485E2,6.506178676E1,2.546882926E1,1.898000941E1,1.700000048E0,2.667000122E2,3.790092468E0,2.500000000E0
3.196780015E2,6.506178696E1,2.546879551E1,1.907546452E1,1.610000014E0,2.687999878E2,3.790092468E0,2.500000000E0
3.206779927E2,6.506178734E1,2.546876525E1,1.907338577E1,1.470000029E0,2.676000061E2,3.790092468E0,2.500000000E0
3.216781502E2,6.506178752E1,2.546873842E1,1.875032359E1,1.309999943E0,2.681000061E2,3.790092468E0,2.500000000E0
3.226779651E2,6.506178824E1,2.546871288E1,1.844538880E1,1.269999981E0,2.702000122E2,3.790092468E0,2.500000000E0
3.236783104E2,6.506178935E1,2.546868918E1,1.789466550E1,1.139999986E0,2.735000000E2,3.790092468E0,2.500000000E0
3.246786189E2,6.506179044E1,2.546866337E1,1.797217682E1,1.309999943E0,2.746000061E2,3.790092468E0,2.500000000E0
3.256783202E2,6.506179101E1,2.546863470E1,1.797723929E1,1.330000043E0,2.718999939E2,3.790092468E0,2.500000000E0
3.266784236E2,6.506179121E1,2.546860279E1,1.804376394E1,1.460000038E0,2.722000122E2,3.790092468E0,2.500000000E0
3.276781310E2,6.506179119E1,2.546856728E1,1.794653095E1,1.629999995E0,2.712000122E2,3.790092468E0,2.500000000E0
3.286789248E2,6.506179042E1,2.546853134E1,1.805059213E1,1.639999986E0,2.696000061E2,3.790092468E0,2.500000000E0
3.296788363E2,6.506178952E1,2.546849333E1,1.819737774E1,1.759999990E0,2.701000061E2,3.790092468E0,2.500000000E0
3.306788002E2,6.506178874E1,2.546845627E1,1.819816732E1,1.639999986E0,2.715000000E2,3.790092468E0,2.500000000E0
3.316782225E2,6.506178804E1,2.546841769E1,1.867252848E1,1.769999981E0,2.718999939E2,3.790092468E0,2.500000000E0
3.326787465E2,6.506178853E1,2.546838356E1,1.867051029E1,1.590000033E0,2.727000122E2,3.790092468E0,2.500000000E0
3.336787596E2,6.506178846E1,2.546835075E1,1.853488650E1,1.570000052E0,2.683999939E2,3.790092468E0,2.500000000E0
3.346780127E2,6.506178777E1,2.546832005E1,1.860006885E1,1.490000010E0,2.672999878E2,3.790092468E0,2.500000000E0
3.356782103E2,6.506178692E1,2.546829361E1,1.849014188E1,1.330000043E0,2.685000000E2,3.790092468E0,2.500000000E0
3.366781342E2,6.506178584E1,2.546826823E1,1.832223172E1,1.250000000E0,2.657000122E2,3.790092468E0,2.500000000E0
3.376783421E2,6.506178362E1,2.546824070E1,1.814351853E1,1.289999962E0,2.655000000E2,3.790092468E0,2.500000000E0
3.386788704E2,6.506178164E1,2.546821478E1,1.814046460E1,1.210000038E0,2.648999939E2,3.790092468E0,2.500000000E0
3.396789050E2,6.506177969E1,2.546818847E1,1.805653904E1,1.149999976E0,2.660000000E2,3.790092468E0,2.500000000E0
3.406787083E2,6.506177787E1,2.546815859E1,1.795875805E1,1.299999952E0,2.631000061E2,3.790092468E0,2.500000000E0
3.416779726E2,6.506177511E1,2.546812509E1,1.786885055E1,1.440000057E0,2.640000000E2,3.790092468E0,2.500000000E0
3.426786800E2,6.506177405E1,2.546809121E1,1.784321237E1,1.450000048E0,2.670000000E2,3.790092468E0,2.500000000E0
3.436782767E2,6.506177336E1,2.546805224E1,1.787488549E1,1.759999990E0,2.687999878E2,3.790092468E0,2.500000000E0
3.446782629E2,6.506177316E1,2.546801421E1,1.797986175E1,1.649999976E0,2.682999878E2,3.790092468E0,2.500000000E0
3.456788283E2,6.506177241E1,2.546797520E1,1.805706711E1,1.860000014E0,2.673999939E2,3.790092468E0,2.500000000E0
3.466787454E2,6.506177230E1,2.546794019E1,1.814098655E1,1.629999995E0,2.695000000E2,3.790092468E0,2.500000000E0
3.476779669E2,6.506177177E1,2.546790797E1,1.813231613E1,1.549999952E0,2.681000061E2,3.790092468E0,2.500000000E0
3.486782084E2,6.506177177E1,2.546787908E1,1.814244472E1,1.360000014E0,2.712999878E2,3.790092468E0,2.500000000E0
3.496784602E2,6.506177260E1,2.546785601E1,1.799388223E1,1.169999957E0,2.718999939E2,3.790092468E0,2.500000000E0
3.506783672E2,6.506177427E1,2.546783410E1,1.783653049E1,1.149999976E0,2.728999939E2,3.790092468E0,2.500000000E0
3.516786882E2,6.506177561E1,2.546781535E1,1.759330277E1,9.700000286E-1,2.712000122E2,3.790092468E0,2.500000000E0
3.526782105E2,6.506177696E1,2.546779007E1,1.748026230E1,1.279999971E0,2.723999939E2,3.790092468E0,2.500000000E0
3.536787235E2,6.506177771E1,2.546776096E1,1.730746821E1,1.350000024E0,2.677000122E2,3.790092468E0,2.500000000E0
3.546781412E2,6.506177798E1,2.546772991E1,1.731680299E1,1.440000057E0,2.680000000E2,3.790092468E0,2.500000000E0
3.556789081E2,6.506177955E1,2.546769704E1,1.755684996E1,1.529999971E0,2.762999878E2,3.790092468E0,2.500000000E0
3.566787908E2,6.506178222E1,2.546766020E1,1.737868317E1,1.769999981E0,2.776000061E2,3.790092468E0,2.500000000E0
3.576780624E2,6.506178506E1,2.546762403E1,1.782515018E1,1.720000029E0,2.787999878E2,3.790092468E0,2.500000000E0
3.586784452E2,6.506178897E1,2.546758820E1,1.818708313E1,1.720000029E0,2.818999939E2,3.790092468E0,2.500000000E0
3.596787520E2,6.506179185E1,2.546755299E1,1.847485882E1,1.759999990E0,2.805000000E2,3.790092468E0,2.500000000E0
3.606784438E2,6.506179543E1,2.546752002E1,1.904187034E1,1.629999995E0,2.841000061E2,3.790092468E0,2.500000000E0
3.616788010E2,6.506179954E1,2.546748655E1,1.918187965E1,1.720000029E0,2.826000061E2,3.790092468E0,2.500000000E0
3.626780331E2,6.506180357E1,2.546745758E1,1.890190659E1,1.480000019E0,2.817000122E2,3.790092468E0,2.500000000E0
3.636781814E2,6.506180647E1,2.546743165E1,1.887645090E1,1.309999943E0,2.781000061E2,3.790092468E0,2.500000000E0
3.646784747E2,6.506180920E1,2.546740375E1,1.872562884E1,1.320000052E0,2.783999939E2,3.790092468E0,2.500000000E0
3.656785273E2,6.506181191E1,2.546737864E1,1.859195799E1,1.169999957E0,2.822000122E2,3.790092468E0,2.500000000E0
3.666781198E2,6.506181469E1,2.546734965E1,1.838028374E1,1.379999995E0,2.832999878E2,3.790092468E0,2.500000000E0
3.676787856E2,6.506181670E1,2.546732127E1,1.825534081E1,1.259999990E0,2.827000122E2,3.790092468E0,2.500000000E0
3.686787683E2,6.506181770E1,2.546728851E1,1.836397931E1,1.490000010E0,2.775000000E2,3.790092468E0,2.500000000E0
3.696784532E2,6.506181682E1,2.546725648E1,1.796718649E1,1.460000038E0,2.712000122E2,3.790092468E0,2.500000000E0
3.706780031E2,6.506181703E1,2.546722065E1,1.835670874E1,1.679999948E0,2.783999939E2,3.790092468E0,2.500000000E0
3.716782691E2,6.506181722E1,2.546718268E1,1.841676298E1,1.779999971E0,2.715000000E2,3.790092468E0,2.500000000E0
3.726784937E2,6.506181453E1,2.546714764E1,1.862867413E1,1.620000005E0,2.642000122E2,3.790092468E0,2.500000000E0
3.736784145E2,6.506181050E1,2.546711208E1,1.910853006E1,1.769999981E0,2.608999939E2,3.790092468E0,2.500000000E0
3.746781479E2,6.506180482E1,2.546707817E1,1.893848446E1,1.700000048E0,2.551999969E2,3.790092468E0,2.500000000E0
3.756786080E2,6.506179650E1,2.546704782E1,1.921833041E1,1.690000057E0,2.440000000E2,3.790092468E0,2.500000000E0
3.766786505E2,6.506178711E1,2.546702356E1,1.927967160E1,1.519999981E0,2.358000031E2,3.790092468E0,2.500000000E0
3.776786030E2,6.506177900E1,2.546700147E1,1.921961362E1,1.289999962E0,2.358000031E2,3.790092468E0,2.500000000E0
3.786783389E2,6.506177124E1,2.546697935E1,1.901880843E1,1.309999943E0,2.361000061E2,3.790092468E0,2.500000000E0
3.796779982E2,6.506176362E1,2.546695854E1,1.869147745E1,1.210000038E0,2.316999969E2,3.790092468E0,2.500000000E0
3.806786439E2,6.506175597E1,2.546693714E1,1.878516693E1,1.240000010E0,2.303999939E2,3.790092468E0,2.500000000E0
3.816786316E2,6.506174865E1,2.546691806E1,1.838575352E1,1.070000052E0,2.240000000E2,3.790092468E0,2.500000000E0
3.826784262E2,6.506173965E1,2.546689987E1,1.829835256E1,1.250000000E0,2.153999939E2,3.790092468E0,2.500000000E0
3.836780082E2,6.506172966E1,2.546687748E1,1.853694029E1,1.419999957E0,2.208000031E2,3.790092468E0,2.500000000E0
3.846789281E2,6.506172029E1,2.546685095E1,1.874165280E1,1.509999990E0,2.278999939E2,3.790092468E0,2.500000000E0
3.856789165E2,6.506171184E1,2.546681999E1,1.858143525E1,1.659999967E0,2.351000061E2,3.790092468E0,2.500000000E0
3.866788691E2,6.506170187E1,2.546678830E1,1.832472163E1,1.750000000E0,2.281999969E2,3.790092468E0,2.500000000E0
3.876783529E2,6.506169099E1,2.546675791E1,1.838447579E1,1.850000024E0,2.273000031E2,3.790092468E0,2.500000000E0
3.886785758E2,6.506168148E1,2.546672900E1,1.862275742E1,1.740000010E0,2.288999939E2,3.790092468E0,2.500000000E0
3.896782120E2,6.506167283E1,2.546670318E1,1.879200831E1,1.649999976E0,2.286999969E2,3.790092468E0,2.500000000E0
3.906789271E2,6.506166381E1,2.546668092E1,1.909175291E1,1.669999957E0,2.266000061E2,3.790092468E0,2.500000000E0
3.916787758E2,6.506165526E1,2.546666098E1,1.899952981E1,1.590000033E0,2.275000000E2,3.790092468E0,2.500000000E0
3.926788009E2,6.506164826E1,2.546664076E1,1.894685687E1,1.440000057E0,2.311000061E2,3.790092468E0,2.500000000E0
3.936787450E2,6.506164266E1,2.546661793E1,1.897163672E1,1.389999986E0,2.378000031E2,3.790092468E0,2.500000000E0
3.946783096E2,6.506163750E1,2.546659311E1,1.852064713E1,1.360000014E0,2.400000000E2,3.790092468E0,2.500000000E0
3.956782306E2,6.506163134E1,2.546656709E1,1.815693806E1,1.429999948E0,2.368000031E2,3.790092468E0,2.500000000E0
3.966788173E2,6.506162604E1,2.546654202E1,1.807099977E1,1.360000014E0,2.388000031E2,3.790092468E0,2.500000000E0
3.976787092E2,6.506162127E1,2.546651885E1,1.804817184E1,1.210000038E0,2.408000031E2,3.790092468E0,2.500000000E0
3.986782552E2,6.506161612E1,2.546649571E1,1.828413312E1,1.179999948E0,2.421000061E2,3.790092468E0,2.500000000E0
3.996783960E2,6.506160763E1,2.546647179E1,1.794294715E1,1.360000014E0,2.313999939E2,3.790092468E0,2.500000000E0
4.006788190E2,6.506159778E1,2.546644729E1,1.801625139E1,1.379999995E0,2.266999969E2,3.790092468E0,2.500000000E0
4.016786570E2,6.506158640E1,2.546642348E1,1.767146547E1,1.490000010E0,2.256999969E2,3.790092468E0,2.500000000E0
4.026787155E2,6.506157239E1,2.546639668E1,1.718745902E1,1.700000048E0,2.235000000E2,3.790092468E0,2.500000000E0
4.036783027E2,6.506155915E1,2.546636790E1,1.753786369E1,1.779999971E0,2.290000000E2,3.790092468E0,2.500000000E0
4.046787125E2,6.506154821E1,2.546633994E1,1.783791356E1,1.639999986E0,2.300000000E2,3.790092468E0,2.500000000E0
4.056788578E2,6.506153676E1,2.546631406E1,1.781008300E1,1.679999948E0,2.273000031E2,3.790092468E0,2.500000000E0
4.066782821E2,6.506152617E1,2.546628996E1,1.814718151E1,1.600000024E0,2.256999969E2,3.790092468E0,2.500000000E0
4.076785563E2,6.506151587E1,2.546626723E1,1.800027127E1,1.580000043E0,2.246999969E2,3.790092468E0,2.500000000E0
4.086781463E2,6.506150761E1,2.546624813E1,1.812441780E1,1.340000033E0,2.268999939E2,3.790092468E0,2.500000000E0
4.096783133E2,6.506149774E1,2.546622987E1,1.765188534E1,1.450000048E0,2.178999939E2,3.790092468E0,2.500000000E0
4.106786196E2,6.506148741E1,2.546621495E1,1.725357219E1,1.379999995E0,2.166000061E2,3.790092468E0,2.500000000E0
4.116783921E2,6.506147771E1,2.546620051E1,1.675723639E1,1.389999986E0,2.151000061E2,3.790092468E0,2.500000000E0
4.126780323E2,6.506146988E1,2.546618362E1,1.729947382E1,1.269999981E0,2.220000000E2,3.790092468E0,2.500000000E0
4.136783514E2,6.506146216E1,2.546616547E1,1.697000696E1,1.230000019E0,2.210000000E2,3.790092468E0,2.500000000E0
4.146781920E2,6.506145352E1,2.546614467E1,1.716922668E1,1.360000014E0,2.210000000E2,3.790092468E0,2.500000000E0
4.156782158E2,6.506144472E1,2.546612077E1,1.737448859E1,1.409999967E0,2.291000061E2,3.790092468E0,2.500000000E0
4.166784322E2,6.506143261E1,2.546609673E1,1.730118731E1,1.730000019E0,2.171999969E2,3.790092468E0,2.500000000E0
4.176791147E2,6.506141964E1,2.546607426E1,1.775510821E1,1.659999967E0,2.186999969E2,3.790092468E0,2.500000000E0
4.186795862E2,6.506140822E1,2.546604991E1,1.741697508E1,1.659999967E0,2.215000000E2,3.790092468E0,2.500000000E0
4.196790722E2,6.506139868E1,2.546602802E1,1.763261348E1,1.509999990E0,2.243000031E2,3.790092468E0,2.500000000E0
4.206794462E2,6.506138867E1,2.546600972E1,1.799730032E1,1.559999943E0,2.170000000E2,3.790092468E0,2.500000000E0
4.216796095E2,6.506137932E1,2.546599462E1,1.802147212E1,1.419999957E0,2.176999969E2,3.790092468E0,2.500000000E0
4.226797988E2,6.506137185E1,2.546598210E1,1.832732075E1,1.279999971E0,2.173999939E2,3.790092468E0,2.500000000E0
4.236789981E2,6.506136500E1,2.546596977E1,1.818083761E1,1.139999986E0,2.188000031E2,3.790092468E0,2.500000000E0
4.246797593E2,6.506135778E1,2.546595583E1,1.867668842E1,1.159999967E0,2.153999939E2,3.790092468E0,2.500000000E0
4.256795899E2,6.506134833E1,2.546594079E1,1.841863371E1,1.289999962E0,2.148000031E2,3.790092468E0,2.500000000E0
4.266788895E2,6.506133796E1,2.546592251E1,1.851580360E1,1.389999986E0,2.146000061E2,3.790092468E0,2.500000000E0
4.276796551E2,6.506132678E1,2.546590405E1,1.860845718E1,1.440000057E0,2.128999939E2,3.790092468E0,2.500000000E0
4.286795598E2,6.506131401E1,2.546588512E1,1.914715623E1,1.559999943E0,2.101999969E2,3.790092468E0,2.500000000E0
4.296793899E2,6.506130124E1,2.546586403E1,1.941607966E1,1.669999957E0,2.196999969E2,3.790092468E0,2.500000000E0
4.306791037E2,6.506128878E1,2.546584125E1,1.978766390E1,1.679999948E0,2.160000000E2,3.790092468E0,2.500000000E0
4.316797428E2,6.506127752E1,2.546582040E1,2.033350328E1,1.490000010E0,2.185000000E2,3.790092468E0,2.500000000E0
4.326794235E2,6.506126762E1,2.546579461E1,2.080011795E1,1.669999957E0,2.185000000E2,3.790092468E0,2.500000000E0
4.336791797E2,6.506125614E1,2.546576938E1,2.089161122E1,1.750000000E0,2.173000031E2,3.790092468E0,2.500000000E0
4.346789564E2,6.506124508E1,2.546574688E1,2.085523598E1,1.590000033E0,2.166999969E2,3.790092468E0,2.500000000E0
4.356791115E2,6.506123688E1,2.546572674E1,2.136970219E1,1.330000043E0,2.188000031E2,3.790092468E0,2.500000000E0
4.366796675E2,6.506122867E1,2.546571084E1,2.172456195E1,1.279999971E0,2.096000061E2,3.790092468E0,2.500000000E0
4.376795003E2,6.506121815E1,2.546570272E1,2.149733119E1,1.269999981E0,1.940000000E2,3.790092468E0,2.500000000E0
4.386793318E2,6.506120649E1,2.546569351E1,2.128029361E1,1.340000033E0,1.998999939E2,3.790092468E0,2.500000000E0
4.396797607E2,6.506119693E1,2.546568293E1,2.114241767E1,1.090000033E0,2.033999939E2,3.790092468E0,2.500000000E0
4.406797618E2,6.506118534E1,2.546567045E1,2.088173956E1,1.320000052E0,2.043000031E2,3.790092468E0,2.570311785E0
4.416789899E2,6.506117082E1,2.546565927E1,2.156039377E1,1.480000019E0,1.963000031E2,3.790092468E0,2.658018112E0
4.426789908E2,6.506115704E1,2.546564159E1,2.186368076E1,1.559999943E0,2.073999939E2,3.790092468E0,2.712042570E0
4.436797460E2,6.506114268E1,2.546562251E1,2.183945317E1,1.730000019E0,2.076999969E2,3.790092468E0,2.500000000E0
4.446790149E2,6.506112624E1,2.546560992E1,2.187375982E1,1.850000024E0,1.943999939E2,3.790092468E0,2.500000000E0
4.456792328E2,6.506111040E1,2.546560148E1,2.165928740E1,1.779999971E0,1.928000031E2,3.790092468E0,2.500000000E0
4.466792035E2,6.506109787E1,2.546559048E1,2.107426900E1,1.539999962E0,2.041000061E2,3.790092468E0,2.503693342E0
4.476791525E2,6.506108720E1,2.546557305E1,2.075658315E1,1.490000010E0,2.138999939E2,3.790092468E0,2.500000000E0
4.486794871E2,6.506107758E1,2.546555711E1,2.109630673E1,1.350000024E0,2.116000061E2,3.790092468E0,2.500000000E0
4.496789261E2,6.506106999E1,2.546553862E1,2.121050435E1,1.200000048E0,2.191000061E2,3.790092468E0,2.500000000E0
4.506794170E2,6.506106252E1,2.546551758E1,2.098809274E1,1.190000057E0,2.213999939E2,3.790092468E0,2.500000000E0
4.516794385E2,6.506105909E1,2.546549790E1,2.203514996E1,8.700000048E-1,2.296999969E2,3.790092468E0,2.500000000E0
4.526790957E2,6.506105353E1,2.546547637E1,2.242565261E1,1.059999943E0,2.273000031E2,3.790092468E0,2.500000000E0
4.536797344E2,6.506104586E1,2.546545584E1,2.259594134E1,1.100000024E0,2.288999939E2,3.790092468E0,2.500000000E0
4.546796056E2,6.506103858E1,2.546543454E1,2.318761655E1,1.059999943E0,2.341999969E2,3.790092468E0,2.500000000E0
4.556796634E2,6.506102787E1,2.546540483E1,2.293517592E1,1.649999976E0,2.325000000E2,3.790092468E0,2.500000000E0
4.566792835E2,6.506101589E1,2.546537408E1,2.303326057E1,1.710000038E0,2.303000031E2,3.790092468E0,2.500000000E0
4.576796601E2,6.506100114E1,2.546534888E1,2.249029465E1,1.789999962E0,2.161999969E2,3.790092468E0,2.500000000E0
4.586795326E2,6.506098676E1,2.546534075E1,2.198913959E1,1.309999943E0,1.960000000E2,3.790092468E0,2.500000000E0
4.596794471E2,6.506097365E1,2.546535434E1,2.175666323E1,1.340000033E0,1.551000061E2,3.790092468E0,2.500000000E0
4.606791412E2,6.506096107E1,2.546539130E1,2.097810774E1,1.690000057E0,1.226999969E2,3.790092468E0,2.500000000E0
4.616796715E2,6.506095364E1,2.546542577E1,2.106685956E1,1.350000024E0,1.034000015E2,3.790092468E0,2.500000000E0
4.626790112E2,6.506094638E1,2.546545734E1,2.101632877E1,1.389999986E0,1.053000031E2,3.790092468E0,2.500000000E0
4.636795538E2,6.506093671E1,2.546548398E1,2.073148438E1,1.169999957E0,1.119000015E2,3.790092468E0,2.500000000E0
4.646793136E2,6.506092641E1,2.546551231E1,1.966764873E1,1.269999981E0,1.090999985E2,3.790092468E0,2.500000000E0
4.656797091E2,6.506091920E1,2.546553963E1,1.940923170E1,1.120000005E0,9.900000000E1,3.790092468E0,2.500000000E0
4.666793565E2,6.506091319E1,2.546557162E1,1.895898124E1,1.190000057E0,9.090000153E1,3.790092468E0,2.500000000E0
4.676796546E2,6.506090895E1,2.546560770E1,1.859961190E1,1.309999943E0,9.150000000E1,3.790092468E0,2.500000000E0
4.686791748E2,6.506090591E1,2.546564381E1,1.832947550E1,1.360000014E0,9.069999695E1,3.790092468E0,2.500000000E0
4.696795422E2,6.506090290E1,2.546568244E1,1.821027932E1,1.509999990E0,9.409999847E1,3.790092468E0,2.500000000E0
4.706789489E2,6.506090059E1,2.546572142E1,1.806355605E1,1.559999943E0,9.050000000E1,3.790092468E0,2.500000000E0
4.716792654E2,6.506090040E1,2.546575818E1,1.845656561E1,1.590000033E0,8.650000000E1,3.790092468E0,2.500000000E0
4.726796587E2,6.506089994E1,2.546579545E1,1.831515149E1,1.639999986E0,8.880000305E1,3.790092468E0,2.500000000E0
4.736791125E2,6.506089914E1,2.546583251E1,1.839486786E1,1.710000038E0,8.940000153E1,3.790092468E0,2.500000000E0
4.746794292E2,6.506089830E1,2.546586550E1,1.828195684E1,1.580000043E0,9.109999847E1,3.790092468E0,2.500000000E0
4.756792113E2,6.506090074E1,2.546589477E1,1.922647822E1,1.500000000E0,7.609999847E1,3.790092468E0,2.500000000E0
