"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.867789741E1,6.506078326E1,2.546683862E1,6.939824532E0,0.000000000E0,NaN,4.039574623E0,5.400763512E0
8.967700893E1,6.506078905E1,2.546690102E1,1.362104267E1,5.799999833E-1,8.019999695E1,3.817002296E0,4.105745792E0
9.067785721E1,6.506079507E1,2.546694920E1,1.911237877E1,4.799999893E-1,7.069999695E1,3.790092468E0,3.486315250E0
9.167762002E1,6.506079873E1,2.546698528E1,2.101643414E1,1.599999964E-1,3.529999924E1,3.790092468E0,3.102390766E0
9.267734778E1,6.506080045E1,2.546702424E1,2.143617660E1,4.300000072E-1,7.219999695E1,3.790092468E0,3.438804865E0
9.367762736E1,6.506080251E1,2.546707240E1,2.228011431E1,9.599999785E-1,7.700000000E1,3.790092468E0,3.561378717E0
9.467758663E1,6.506079959E1,2.546711463E1,2.258462454E1,1.039999962E0,1.030000000E2,3.790092468E0,3.619019508E0
9.567744965E1,6.506079564E1,2.546715774E1,2.310159864E1,1.309999943E0,1.010999985E2,3.790092468E0,3.598704576E0
9.667730450E1,6.506079219E1,2.546719438E1,2.328708989E1,1.389999986E0,1.019000015E2,3.790092468E0,3.549556255E0
9.767711793E1,6.506078692E1,2.546723481E1,2.380839770E1,1.600000024E0,1.010999985E2,3.790092468E0,3.534168959E0
9.867708725E1,6.506078462E1,2.546727412E1,2.355748744E1,1.659999967E0,9.500000000E1,3.790092468E0,3.296810627E0
9.967787152E1,6.506078304E1,2.546730857E1,2.377911055E1,1.629999995E0,9.419999695E1,3.790092468E0,3.249775648E0
1.006773474E2,6.506078073E1,2.546733758E1,2.331012053E1,1.559999943E0,9.240000153E1,3.790092468E0,3.145989656E0
1.016770643E2,6.506077838E1,2.546735723E1,2.283826083E1,1.139999986E0,9.669999695E1,3.790092468E0,2.990385532E0
1.026772936E2,6.506077576E1,2.546737619E1,2.244293925E1,1.159999967E0,9.930000305E1,3.790092468E0,2.836448431E0
1.036772587E2,6.506077367E1,2.546739933E1,2.222870923E1,1.240000010E0,1.009000015E2,3.790092468E0,2.776151657E0
1.046776654E2,6.506077342E1,2.546742382E1,2.226984976E1,1.240000010E0,9.400000000E1,3.790092468E0,2.730375051E0
1.056772031E2,6.506077326E1,2.546745188E1,2.205781683E1,1.389999986E0,9.440000153E1,3.790092468E0,2.673867464E0
1.066772480E2,6.506077265E1,2.546748160E1,2.156276423E1,1.350000024E0,9.250000000E1,3.790092468E0,2.907844782E0
1.076835949E2,6.506077249E1,2.546751970E1,2.137905273E1,1.690000057E0,9.090000153E1,3.790092468E0,2.720115423E0
1.086774322E2,6.506077346E1,2.546755529E1,2.097506464E1,1.549999952E0,9.030000305E1,3.790092468E0,2.680930376E0
1.096771988E2,6.506077419E1,2.546758818E1,2.086532682E1,1.500000000E0,8.980000305E1,3.790092468E0,2.700146198E0
1.106772465E2,6.506077390E1,2.546761760E1,2.081076479E1,1.370000005E0,9.269999695E1,3.790092468E0,2.676488638E0
1.116772675E2,6.506077350E1,2.546764290E1,2.098575557E1,1.220000029E0,8.969999695E1,3.790092468E0,2.641950607E0
1.126770149E2,6.506077391E1,2.546766883E1,2.102750636E1,1.250000000E0,8.859999847E1,3.790092468E0,2.664875507E0
1.136769893E2,6.506077529E1,2.546769342E1,2.096165164E1,1.070000052E0,8.340000153E1,3.790092468E0,2.598002195E0
1.146772767E2,6.506077498E1,2.546772617E1,2.123582534E1,1.340000033E0,9.169999695E1,3.790092468E0,2.569168329E0
1.156835526E2,6.506077858E1,2.546776295E1,2.156047408E1,1.549999952E0,7.990000153E1,3.790092468E0,2.500000000E0
1.166773572E2,6.506078407E1,2.546779686E1,2.172270722E1,1.450000048E0,7.500000000E1,3.790092468E0,2.512075901E0
1.176774610E2,6.506079001E1,2.546783031E1,2.177300166E1,1.490000010E0,7.419999695E1,3.790092468E0,2.615505457E0
1.186774299E2,6.506079527E1,2.546786341E1,2.183635785E1,1.559999943E0,7.730000305E1,3.790092468E0,2.621580839E0
1.196773641E2,6.506079979E1,2.546789518E1,2.156872052E1,1.549999952E0,7.740000153E1,3.790092468E0,2.536840200E0
1.206774225E2,6.506080268E1,2.546792580E1,2.127984344E1,1.429999948E0,8.369999695E1,3.790092468E0,2.500000000E0
1.216769976E2,6.506080456E1,2.546795308E1,2.106310994E1,1.350000024E0,8.450000000E1,3.790092468E0,2.500000000E0
1.226776568E2,6.506080640E1,2.546798088E1,2.089819535E1,1.320000052E0,8.309999847E1,3.790092468E0,2.500000000E0
1.236776433E2,6.506080807E1,2.546800651E1,2.072894709E1,1.149999976E0,8.440000153E1,3.790092468E0,2.500000000E0
1.246774066E2,6.506080864E1,2.546803492E1,2.059192613E1,1.259999990E0,8.759999847E1,3.790092468E0,2.500000000E0
1.256774091E2,6.506080983E1,2.546806494E1,2.050385530E1,1.389999986E0,8.859999847E1,3.790092468E0,2.500000000E0
1.266771930E2,6.506081225E1,2.546809782E1,2.049970766E1,1.529999971E0,8.240000153E1,3.790092468E0,2.500000000E0
1.276775116E2,6.506081254E1,2.546813393E1,2.050770719E1,1.700000048E0,9.090000153E1,3.790092468E0,2.500000000E0
1.286773130E2,6.506081263E1,2.546816854E1,2.018343124E1,1.590000033E0,9.430000305E1,3.790092468E0,2.500000000E0
